region_schema,region_parent,region_child,agerange,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-11,2020-04-15,2020-04-20,2020-04-23,2020-04-24,2020-04-28,2020-05-01
admin_1,lk,lk-11,,0,5,1,0,3,0,1,2,1,3,2,4,2,0,0,2,16,5,10,1,1
admin_1,lk,lk-12,,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,2,1,1,0,7,5
admin_1,lk,lk-13,,4,5,1,0,1,0,0,6,0,0,1,0,0,1,1,1,0,13,0,4,0
admin_1,lk,lk-21,,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,4,2
admin_1,lk,lk-22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-32,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
admin_1,lk,lk-33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
admin_1,lk,lk-41,,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0
admin_1,lk,lk-42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
admin_1,lk,lk-45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
admin_1,lk,lk-53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
admin_1,lk,lk-61,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0
admin_1,lk,lk-62,,0,2,0,1,0,0,0,10,0,0,1,1,4,0,0,1,0,0,0,2,0
admin_1,lk,lk-71,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
admin_1,lk,lk-72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
admin_1,lk,lk-81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
admin_1,lk,lk-91,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-92,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
