region_schema,region_parent,region_child,agerange,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-10,2020-04-11,2020-04-14,2020-04-15,2020-04-17,2020-04-19,2020-04-20,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-28,2020-04-30,2020-05-01,2020-05-04,2020-05-06,2020-05-20
admin_1,lk,lk-11,,16,19,21,21,22,25,25,29,30,32,33,36,38,42,44,44,44,44,45,47,49,61,77,115,120,130,154,155,155,158,154,152,150
admin_1,lk,lk-12,,10,10,10,10,10,10,10,10,11,11,11,11,11,11,13,13,16,16,24,26,28,31,32,32,33,33,34,41,47,52,47,35,36
admin_1,lk,lk-13,,4,8,13,14,14,15,15,18,18,24,24,24,25,25,25,26,26,27,37,45,45,45,45,45,58,58,59,63,65,65,38,34,34
admin_1,lk,lk-21,,0,0,0,0,0,0,0,1,1,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,11,13,15,21,13,13
admin_1,lk,lk-22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0
admin_1,lk,lk-23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
admin_1,lk,lk-31,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admin_1,lk,lk-32,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
admin_1,lk,lk-33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0
admin_1,lk,lk-41,,0,1,1,1,1,1,1,1,1,1,4,4,7,7,7,7,7,7,7,13,16,16,16,16,16,16,16,16,16,16,7,7,7
admin_1,lk,lk-42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,1,0,0
admin_1,lk,lk-45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,lk,lk-51,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admin_1,lk,lk-52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,4,2,2
admin_1,lk,lk-53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,0,0
admin_1,lk,lk-61,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,12,15,23,23,29,11,11
admin_1,lk,lk-62,,6,6,8,9,9,9,9,15,15,25,25,25,26,27,31,31,34,34,34,35,35,35,35,35,35,35,37,39,41,41,35,35,35
admin_1,lk,lk-71,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,12,13,2,2
admin_1,lk,lk-72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1
admin_1,lk,lk-81,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,1,1
admin_1,lk,lk-82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,4,4
admin_1,lk,lk-91,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,7,7,8,8,7,5,5
admin_1,lk,lk-92,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,5,7,8,8,10,4,4
