region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-14,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-21,2020-07-22,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-06,2020-08-09,2020-08-10,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-24,2020-08-26,2020-08-27,2020-08-31
admin_1,om,om-bj,,345,352,377,377,377,377,476,541,548,556,646,722,790,825,873,999,1017,1060,1117,1185,1291,1338,1407,1469,1531,1678,1752,1822,1853,2070,2071,2179,2342,2491,2659,2770,2916,3133,3315,3509,3877,4104,4261,4789,5128,5605,5703,5913,6130,6401,6594,7794,8554,8829,8987,9066,9069,9070,9076,9086,9138,9215,9218,9260,9282,9282,9448
admin_1,om,om-bs,,302,310,349,349,349,455,593,754,756,770,834,874,991,1048,1212,1226,1392,1450,1557,1569,1589,1688,1708,1796,1819,1940,2050,2314,2387,2418,2876,3211,3266,3285,3312,3342,3414,3456,3686,3838,4299,4569,5063,5403,6396,6604,7033,7577,7949,8336,8572,11207,12245,12641,12822,12919,12966,12997,13018,13040,13093,13176,13210,13342,13399,13528,13623
admin_1,om,om-bu,,52,53,61,61,61,70,80,84,91,97,122,123,146,149,154,162,169,173,178,184,196,211,214,223,240,250,263,269,272,293,293,320,347,353,373,387,387,428,456,481,484,500,503,534,557,585,600,602,634,638,647,737,846,854,876,881,884,884,884,894,896,898,902,903,905,905,928
admin_1,om,om-da,,300,306,340,340,340,340,447,510,534,537,537,540,546,551,567,610,617,648,672,709,726,757,804,828,869,912,961,988,1023,1062,1140,1205,1270,1371,1441,1509,1584,1720,1824,1938,2084,2161,2343,2412,2840,2927,3009,3121,3237,3351,3468,4099,4467,4604,4642,4719,4764,4809,4809,4821,4841,4846,4867,4924,4943,4983,5052
admin_1,om,om-ma,,1479,1484,1958,1958,1958,2081,2105,3227,4150,4986,5682,6532,7851,8429,9544,10809,11290,11884,12528,12918,13206,13837,14410,14903,15906,16339,16744,17435,18038,19245,19917,21062,21617,22216,22966,23660,24096,25132,25507,26577,27159,27564,28526,28836,30874,31212,31562,32188,32601,33212,33609,36336,37900,38403,38675,38759,38797,38815,38895,38945,38965,38997,39089,39277,39402,39569,40016
admin_1,om,om-mu,,6,6,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,12,13,13,13,13,13,14,15,17,17,18,19,21,25,25,29,29,33,35,36,39,39,40,42,44,51,55,58,58,58,59,59,60,60,61,61,62,62,62,62,68
admin_1,om,om-sj,,210,210,215,215,215,228,244,259,265,278,294,296,299,316,355,391,409,428,445,467,483,491,515,533,559,584,598,636,658,698,704,728,754,777,827,842,864,936,1006,1115,1137,1214,1344,1464,1677,1741,1815,1884,2032,2085,2138,2380,2464,2467,2485,2494,2496,2497,2501,2506,2508,2512,2538,2559,2561,2561,2600
admin_1,om,om-ss,,35,38,49,49,49,49,64,82,93,93,133,211,213,215,224,226,227,231,236,246,254,263,272,301,316,347,376,390,401,425,469,489,518,560,591,608,641,665,711,777,804,844,930,959,1122,1165,1224,1290,1325,1412,1478,1796,2025,2096,2135,2136,2140,2140,2146,2153,2157,2160,2165,2187,2194,2212,2234
admin_1,om,om-wu,,0,0,0,0,0,0,1,11,14,16,24,48,57,64,126,148,221,300,301,421,435,532,654,766,768,920,936,959,1001,1001,1016,1104,1125,1148,1179,1196,1204,1233,1233,1254,1320,1325,1384,1388,1423,1431,1460,1465,1471,1481,1481,1555,1580,1592,1595,1600,1600,1600,1600,1601,1601,1601,1605,1611,1610,1610,1627
admin_1,om,om-za,,65,68,77,77,77,92,112,138,138,139,139,143,147,151,152,152,152,169,173,179,190,195,196,196,212,226,237,239,255,257,316,327,345,364,364,372,373,416,498,534,581,637,705,797,967,970,1060,1065,1187,1208,1225,1510,1785,1790,1798,1803,1809,1812,1812,1812,1813,1817,1819,1823,1825,1825,1835
admin_1,om,om-zu,,18,18,18,18,18,18,22,26,26,28,35,35,40,40,48,48,49,56,63,85,141,161,174,175,192,218,233,253,268,327,331,362,407,441,496,552,601,717,781,892,1002,1057,1062,1307,1716,1785,1794,1884,1981,2074,2165,2583,2770,2790,2817,2843,2843,2867,2879,2894,2904,2905,2911,2964,2964,2964,3028
